batch_id,timestamp,machine_id,temperature_C,pressure_bar,raw_material_kg,batch_size_kg,reaction_rate_constant,reaction_time_min,machine_runtime_min,downtime_min,cycle_time_min,conversion_percent,production_kg,defective_kg,good_production_kg,yield_percent,energy_kWh,energy_cost,total_cost,cost_per_good_kg,throughput_kg_hr,maintenance_event
1,2025-01-01 00:00:00,M04,71.91,3.959,903.26,899.95,0.004152,138.01,165.38,17.98,183.36,55.0,494.97,10.57,484.4,53.63,795.93,103.47,2475.91,5.111,158.51,No
2,2025-01-01 02:00:00,M03,65.32,4.384,990.85,976.2,0.003324,155.86,178.05,24.42,202.47,55.0,536.91,13.62,523.29,52.81,834.5,108.49,2559.41,4.891,155.08,No
3,2025-01-01 04:00:00,M05,71.07,4.766,962.9,936.15,0.004144,160.67,178.95,4.28,183.23,55.0,514.88,11.41,503.48,52.29,900.07,117.01,2537.12,5.039,164.87,No
4,2025-01-01 06:00:00,M04,66.85,4.712,1079.71,1084.46,0.003555,157.29,176.76,12.62,189.38,55.0,596.45,10.46,585.99,54.27,845.64,109.93,2858.46,4.878,185.66,No
5,2025-01-01 08:00:00,M01,70.47,3.946,1005.44,990.86,0.003944,164.81,182.45,3.62,186.07,55.0,544.98,11.18,533.8,53.09,933.94,121.41,2561.82,4.799,172.12,No
6,2025-01-01 10:00:00,M05,58.0,3.53,928.14,899.35,0.002452,179.05,192.94,22.26,215.2,55.0,494.64,9.19,485.45,52.3,836.76,108.78,2483.45,5.116,135.35,No
7,2025-01-01 12:00:00,M04,65.8,3.607,1087.45,1091.65,0.003292,179.67,191.92,14.64,206.56,55.0,600.4,10.87,589.53,54.21,930.61,120.98,2718.06,4.611,171.24,No
8,2025-01-01 14:00:00,M04,80.05,4.06,1065.59,1066.93,0.005515,110.97,124.75,1.64,126.39,55.0,586.81,12.11,574.7,53.93,731.45,95.09,2627.6,4.572,272.82,No
9,2025-01-01 16:00:00,M01,76.57,4.858,873.01,850.4,0.005037,110.5,133.85,4.15,138.0,55.0,467.72,7.61,460.11,52.7,675.6,87.83,2271.45,4.937,200.05,No
10,2025-01-01 18:00:00,M03,79.25,3.872,1022.7,1003.4,0.005334,98.67,117.7,9.55,127.25,55.0,551.87,13.43,538.43,52.65,633.87,82.4,2610.13,4.848,253.89,No
11,2025-01-01 20:00:00,M02,79.63,3.932,935.64,916.47,0.005414,102.59,122.74,2.62,125.36,55.0,504.06,12.59,491.47,52.53,672.93,87.48,2409.48,4.903,235.24,No
12,2025-01-01 22:00:00,M05,75.7,3.922,933.27,898.11,0.004732,131.67,152.82,4.63,157.45,55.0,493.96,8.37,485.59,52.03,794.45,103.28,2516.28,5.182,185.04,No
13,2025-01-02 00:00:00,M04,69.51,3.961,1168.26,1155.28,0.003812,124.73,141.92,32.02,173.94,55.0,635.41,14.32,621.09,53.16,710.05,92.31,2938.23,4.731,214.24,No
14,2025-01-02 02:00:00,M05,66.3,4.195,1011.18,1006.27,0.003423,181.14,196.71,6.25,202.96,55.0,553.45,9.53,543.92,53.79,949.02,123.37,2763.17,5.08,160.8,No
15,2025-01-02 04:00:00,M03,78.31,3.624,980.42,973.44,0.00512,115.45,141.53,12.82,154.35,55.0,535.39,8.75,526.64,53.72,734.54,95.49,2507.68,4.762,204.73,No
16,2025-01-02 06:00:00,M02,72.36,4.688,1007.65,992.93,0.004325,126.53,146.65,26.42,173.07,55.0,546.11,9.18,536.93,53.29,753.66,97.98,2628.28,4.895,186.14,No
17,2025-01-02 08:00:00,M03,85.72,4.135,1078.68,1074.7,0.006672,82.51,93.85,20.05,113.9,55.0,591.08,24.41,566.68,52.53,577.9,75.13,2769.6,4.887,298.51,No
18,2025-01-02 10:00:00,M01,69.99,5.316,936.86,910.04,0.004064,140.67,151.65,34.01,185.65,55.0,500.52,11.11,489.41,52.24,799.16,103.89,2400.19,4.904,158.17,No
19,2025-01-02 12:00:00,M05,82.85,3.672,952.22,958.72,0.005973,115.91,136.91,26.48,163.39,55.0,527.29,17.11,510.18,53.58,766.47,99.64,2481.02,4.863,187.35,No
20,2025-01-02 14:00:00,M04,71.14,4.915,1059.1,1033.4,0.004176,142.08,156.54,17.32,173.86,55.0,568.37,12.69,555.68,52.47,830.25,107.93,2589.34,4.66,191.76,No
21,2025-01-02 16:00:00,M04,79.35,4.826,863.52,843.72,0.005531,89.62,107.1,3.3,110.41,55.0,464.05,7.52,456.52,52.87,579.62,75.35,2196.45,4.811,248.1,No
22,2025-01-02 18:00:00,M02,81.33,4.015,1089.17,1065.31,0.005748,92.91,102.16,13.15,115.31,55.0,585.92,15.98,569.94,52.33,627.84,81.62,2727.88,4.786,296.55,No
23,2025-01-02 20:00:00,M05,66.37,4.022,855.53,836.05,0.003412,140.83,156.98,21.19,178.17,55.0,459.83,9.99,449.84,52.58,758.96,98.67,2279.71,5.068,151.49,No
24,2025-01-02 22:00:00,M05,69.33,3.785,977.88,960.95,0.003765,112.66,134.31,5.42,139.73,55.0,528.52,9.81,518.72,53.04,641.27,83.36,2467.88,4.758,222.74,No
25,2025-01-03 00:00:00,M04,66.32,3.791,856.11,840.89,0.003377,141.88,157.74,32.35,190.1,55.0,462.49,9.31,453.17,52.93,760.55,98.87,2373.15,5.237,143.04,No
26,2025-01-03 02:00:00,M01,65.24,4.2,904.94,892.77,0.003293,174.94,188.26,11.73,199.99,55.0,491.02,9.52,481.5,53.21,901.15,117.15,2262.91,4.7,144.46,No
27,2025-01-03 04:00:00,M03,75.67,4.209,1116.79,1089.07,0.004775,138.91,155.94,18.09,174.03,55.0,598.99,13.22,585.77,52.45,856.99,111.41,2741.77,4.681,201.96,No
28,2025-01-03 06:00:00,M01,70.92,3.479,1094.0,1079.78,0.00394,163.0,181.14,20.0,201.14,55.0,593.88,10.07,583.81,53.36,918.93,119.46,2731.58,4.679,174.15,No
29,2025-01-03 08:00:00,M01,72.29,5.232,1103.62,1072.62,0.004396,109.11,125.7,20.71,146.41,55.0,589.94,17.01,572.94,51.91,649.33,84.41,2775.64,4.845,234.79,No
